[[ -29107.77041868 -342976.17013567]
 [ 273448.85343969  947520.43291076]
 [  26732.06870214 -393259.28202225]
 [ -13071.27892594  -45954.98664578]
 [  21086.63799122  339282.19220964]
 [ -50138.56933342 -338235.66702066]
 [-214262.87235661 -536424.85158861]
 [  33717.35035162  352812.50125239]
 [  -8485.28238456  359711.82809082]
 [ -39919.13706548 -342475.99705064]]
