[[-343130.98230105   35976.64025984]
 [ 984317.89370718  -54976.60033205]
 [-396274.2138363   -17589.95043282]
 [ -46435.53955913    9135.36974168]
 [ 327260.34339756  -92772.63402337]
 [-337212.0185903    56739.97523129]
 [-527705.4309892   229134.18139181]
 [ 344127.91901895  -85008.8943866 ]
 [ 337064.54311304 -127381.31432742]
 [-342012.51396076   46743.22687766]]
