[[  -7405.82695185  344010.09023896]
 [ 217869.87059815 -961669.48946716]
 [  51519.4196623   390606.28951749]
 [ -11182.10117834   46520.66596338]
 [  -1665.126144   -340163.19615115]
 [ -28693.41981013  340635.78411692]
 [-179525.84218822  549075.12454745]
 [   9852.53067572 -354524.13048872]
 [ -32545.37871079 -358700.79428788]
 [ -18224.12595285  344209.65601072]]
