[[-335915.26645194  -74135.69604625]
 [ 983067.43488304   76966.03981296]
 [-357918.82146161 -164526.97274021]
 [ -47612.75398656   -3583.21542564]
 [ 324518.86850599  101884.59535114]
 [-328817.90085015  -92202.69887087]
 [-577715.87474215    8857.61983186]
 [ 341644.52810206   95080.45312008]
 [ 333100.54628749  136853.11085962]
 [-334350.76028615  -85193.2358927 ]]
