[[-342581.21168672  -39946.13970088]
 [ 961932.39960362  216438.49613468]
 [-375715.17142661 -126819.45251005]
 [ -47207.73178421   -4075.87426391]
 [ 339979.21533456    2660.6558735 ]
 [-337574.81472367  -50444.72218562]
 [-570779.89873942   73431.94375868]
 [ 353978.41692338   14987.29998347]
 [ 358988.16924997  -27806.92600089]
 [-341019.37275089  -58425.28108898]]
