[[ 104227.20435872  327932.32867579]
 [-480253.01638509 -861190.56646773]
 [  60856.68245096  389272.59005794]
 [  23759.59424721   41513.92413313]
 [ -94494.04028995 -326765.57765602]
 [ 123695.5648323   318683.29652082]
 [ 327261.2782353   476034.52808971]
 [-109608.37034907 -337284.4712977 ]
 [ -70106.50436208 -353264.39667307]
 [ 114661.60726172  325068.34461714]]
