[[-342088.3296858   -44796.2533237 ]
 [ 982598.99125489   79868.97850856]
 [-396598.2066654     7380.53272232]
 [ -46215.80197692  -10145.23848171]
 [ 324758.81378346  101240.83107108]
 [-335634.17986821  -65399.44206533]
 [-521619.94528235 -242643.90379267]
 [ 341819.38193732   93928.88209563]
 [ 333670.96364688  136095.85218581]
 [-340691.68714387  -55530.23891999]]
