[[-343645.57772333  -20824.60699982]
 [ 954842.13830234  247219.25842291]
 [-392568.20939358   36224.72452352]
 [ -46264.46693179  -12813.41779329]
 [ 340475.28068541    5122.35487441]
 [-339411.95717133  -41968.02009471]
 [-541428.72682392 -201360.88454966]
 [ 357009.39285127  -11030.58951651]
 [ 354396.63950343   31077.76547719]
 [-343404.5132985   -31646.58434404]]
