[[-1823026.20894322   615611.89674017]
 [ -352071.56202685  -661454.53384483]
 [  637257.96149324 -1254786.72718042]
 [  413369.21214663  1004532.62581341]
 [ -302033.75694467   195417.59570373]
 [ -101829.4109116     95253.90414309]
 [  117059.00952599  -106368.68278863]
 [  938010.96344566   291300.87046685]
 [   74151.48418849   -41844.83552519]
 [  465795.88682177  -107101.64003325]
 [  -51836.01134262   181485.03190926]
 [ -654861.06119057   729703.18631692]
 [  471532.39995866  -220555.23056427]
 [  583146.85421317    -6584.54355494]
 [  383418.88696189  -320800.18259111]
 [ -111481.54031148   341998.20812656]
 [  -83046.47642833    82860.62545561]
 [   25082.48783656   285424.95787077]
 [ -437113.68135973   -57887.51394052]
 [ -362455.44131173   -36624.16906554]
 [  -20209.35744634  -535661.93413672]
 [  270806.2135006   -103713.01776273]
 [  -60590.22288646    94841.4970256 ]
 [  -19076.62898905  -465047.38858382]]
