[[-1908078.77011079  -254643.55649766]
 [ -190563.01926594   706286.20532511]
 [  870862.76954468  1101902.45389587]
 [  135211.62075759 -1095071.0412764 ]
 [ -264065.71716494  -297472.09664723]
 [ -107087.46221122  -103303.11013687]
 [  158256.48295098     5064.08404236]
 [  859941.98537759  -479984.90046618]
 [   70059.7894525     51251.28337757]
 [  474444.57660486   -94335.55799617]
 [ -172441.25204411   -17657.95696348]
 [ -951027.05152671   124177.67223848]
 [  505171.73703015   -13475.84888215]
 [  591591.97198593   165448.96660925]
 [  430787.41295031   210145.06129251]
 [ -318960.02666281  -109687.98573258]
 [  -91757.71769823   -86758.56719389]
 [ -253968.26986642    81367.82014001]
 [ -116198.3482535   -462907.34358674]
 [  -67264.52337488  -396659.59052217]
 [   86138.11734429   514712.47451533]
 [  282910.96185896    65794.73722014]
 [  -95021.62322979   -60429.46302706]
 [   71056.35555152   446236.26027196]]
