[[-1770854.35188701   750549.95950629]
 [  716402.38778532  -267506.58288965]
 [ 1175905.88575982   770210.12799005]
 [ -272149.59690272 -1062554.10736826]
 [ -370081.2211157    -49782.33367545]
 [ -130360.14938519   -48755.95515595]
 [  168983.64950446   -30741.65536194]
 [  577462.49193352  -791038.19800782]
 [   78651.28545857    21016.41212436]
 [  262189.01389571   395476.91942141]
 [ -145342.15739202  -131997.94198491]
 [ -979049.39092711  -116744.90714525]
 [  437131.3710952    209080.35312875]
 [  198048.90129652   554355.60636551]
 [  353009.99638188   340984.41983176]
 [ -215490.34266623  -316654.87442666]
 [ -107257.24974816   -55340.04988841]
 [ -215674.85138596  -187015.89835763]
 [ -336446.4513383    278754.69526957]
 [ -300055.68462729   206211.69978116]
 [  398589.86984651  -318080.47250015]
 [  207505.51759197   181914.42383309]
 [  -94991.43344204   -70607.69679096]
 [  363872.51026825  -261733.94369892]]
